Red,Green,Blue
0.235,0.353,0.412
0.200,0.333,0.467
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.200,0.333,0.467
0.200,0.333,0.467
0.200,0.333,0.467
0.214,0.357,0.429
0.231,0.308,0.462
0.231,0.308,0.462
0.250,0.333,0.417
0.182,0.364,0.455
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.182,0.364,0.455
0.231,0.308,0.462
0.200,0.333,0.467
0.250,0.312,0.437
0.222,0.333,0.444
0.222,0.333,0.444
0.263,0.316,0.421
0.263,0.316,0.421
0.263,0.316,0.421
0.250,0.350,0.400
0.280,0.320,0.400
0.286,0.321,0.393
0.276,0.345,0.379
0.290,0.323,0.387
0.290,0.323,0.387
0.290,0.323,0.387
0.276,0.345,0.379
0.280,0.320,0.400
0.250,0.350,0.400
0.263,0.316,0.421
0.222,0.333,0.444
0.235,0.353,0.412
0.250,0.312,0.437
0.214,0.357,0.429
0.214,0.357,0.429
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.214,0.357,0.429
0.250,0.312,0.437
0.222,0.333,0.444
0.263,0.316,0.421
0.263,0.316,0.421
0.263,0.316,0.421
0.222,0.333,0.444
0.250,0.312,0.437
0.231,0.308,0.462
0.182,0.364,0.455
0.182,0.364,0.455
0.231,0.308,0.462
0.214,0.357,0.429
0.214,0.357,0.429
0.231,0.308,0.462
0.250,0.333,0.417
0.200,0.300,0.500
0.200,0.300,0.500
0.250,0.333,0.417
0.214,0.357,0.429
0.250,0.312,0.437
0.250,0.312,0.437
0.200,0.333,0.467
0.214,0.357,0.429
0.231,0.308,0.462
0.250,0.333,0.417
0.182,0.364,0.455
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.222,0.333,0.444
0.200,0.300,0.500
0.200,0.300,0.500
0.182,0.364,0.455
0.182,0.364,0.455
0.200,0.300,0.500
0.222,0.333,0.444
0.222,0.333,0.444
0.222,0.333,0.444
0.222,0.333,0.444
0.222,0.333,0.444
0.200,0.300,0.500
0.200,0.300,0.500
0.182,0.364,0.455
0.182,0.364,0.455
0.250,0.333,0.417
0.182,0.364,0.455
0.182,0.364,0.455
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.200,0.300,0.500
0.182,0.364,0.455
0.200,0.300,0.500
0.182,0.364,0.455
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.231,0.308,0.462
0.200,0.300,0.500
0.182,0.364,0.455
0.250,0.300,0.450
0.308,0.327,0.365

