Red,Green,Blue
0.403,0.343,0.254
0.406,0.348,0.246
0.403,0.347,0.250
0.413,0.347,0.240
0.410,0.346,0.244
0.412,0.350,0.237
0.427,0.341,0.232
0.424,0.341,0.235
0.424,0.341,0.235
0.420,0.341,0.239
0.420,0.341,0.239
0.420,0.341,0.239
0.416,0.348,0.236
0.416,0.348,0.236
0.418,0.341,0.242
0.413,0.348,0.239
0.413,0.348,0.239
0.407,0.352,0.242
0.404,0.348,0.247
0.400,0.353,0.247
0.395,0.355,0.250
0.394,0.352,0.254
0.391,0.362,0.246
0.388,0.358,0.254
0.388,0.358,0.254
0.391,0.362,0.246
0.397,0.353,0.250
0.400,0.357,0.243
0.408,0.352,0.239
0.403,0.361,0.236
0.405,0.351,0.243
0.397,0.356,0.247
0.403,0.361,0.236
0.400,0.357,0.243
0.391,0.362,0.246
0.391,0.362,0.246
0.391,0.362,0.246
0.391,0.362,0.246
0.386,0.371,0.243
0.389,0.361,0.250
0.389,0.361,0.250
0.392,0.365,0.243
0.392,0.365,0.243
0.400,0.360,0.240
0.400,0.360,0.240
0.403,0.361,0.236
0.414,0.357,0.229
0.426,0.353,0.221
0.424,0.348,0.227
0.433,0.350,0.217
0.443,0.344,0.213
0.437,0.338,0.225
0.423,0.346,0.231
0.425,0.350,0.225
0.427,0.341,0.232
0.422,0.349,0.229
0.417,0.345,0.238
0.419,0.349,0.233
0.416,0.348,0.236
0.424,0.348,0.228
0.426,0.340,0.234
0.426,0.340,0.234
0.421,0.347,0.232
0.427,0.344,0.229
0.427,0.344,0.229
0.432,0.337,0.232
0.430,0.344,0.226
0.429,0.341,0.231
0.433,0.344,0.222
0.437,0.345,0.218
0.439,0.341,0.220
0.436,0.346,0.218
0.446,0.338,0.216
0.438,0.342,0.219
0.444,0.347,0.208
0.443,0.343,0.214
0.437,0.352,0.211
0.431,0.347,0.222
0.425,0.356,0.219
0.427,0.347,0.227
0.423,0.346,0.231
0.418,0.354,0.228
0.418,0.354,0.228
0.415,0.354,0.232
0.415,0.354,0.232
0.415,0.354,0.232
0.407,0.358,0.235
0.412,0.363,0.225
0.410,0.359,0.231
0.426,0.353,0.221
0.443,0.344,0.213
0.450,0.333,0.217
0.455,0.327,0.218
0.441,0.339,0.220
0.433,0.343,0.224
0.429,0.343,0.229
0.414,0.357,0.229
0.420,0.348,0.232
0.418,0.343,0.239
0.418,0.343,0.239
0.409,0.348,0.242
0.415,0.354,0.231
0.415,0.354,0.231
0.415,0.354,0.231
0.418,0.343,0.239
0.424,0.348,0.227
0.424,0.348,0.227
0.424,0.348,0.227
0.420,0.348,0.232
0.420,0.348,0.232
0.429,0.343,0.229
0.438,0.342,0.219
0.438,0.342,0.219
0.434,0.342,0.224
0.442,0.338,0.221
0.436,0.346,0.218
0.442,0.338,0.221
0.442,0.338,0.221
0.442,0.338,0.221
0.442,0.338,0.221
0.442,0.338,0.221
0.442,0.338,0.221
0.442,0.338,0.221
0.442,0.338,0.221
0.447,0.329,0.224
0.444,0.333,0.222
0.455,0.333,0.212
0.450,0.333,0.217
0.441,0.339,0.220
0.433,0.343,0.224
0.434,0.342,0.224
0.423,0.346,0.231
0.421,0.342,0.237
0.425,0.342,0.233
0.423,0.338,0.239
0.420,0.348,0.232
0.420,0.348,0.232
0.420,0.348,0.232
0.414,0.357,0.229
0.414,0.357,0.229
0.423,0.352,0.225
0.431,0.347,0.222
0.429,0.343,0.229
0.429,0.357,0.214
0.426,0.353,0.221
0.439,0.348,0.212
0.435,0.348,0.217
0.435,0.348,0.217
0.437,0.352,0.211
0.431,0.347,0.222
0.427,0.347,0.227
0.432,0.351,0.216
0.431,0.347,0.222
0.439,0.348,0.212
0.443,0.344,0.213
0.450,0.333,0.217
0.437,0.344,0.219
0.431,0.347,0.222
0.427,0.347,0.227
0.418,0.354,0.228
0.425,0.350,0.225
0.425,0.350,0.225
0.430,0.342,0.228
0.430,0.342,0.228
0.430,0.342,0.228
0.442,0.338,0.221
0.446,0.338,0.216
0.449,0.333,0.217
0.449,0.333,0.217
0.451,0.338,0.211
0.444,0.333,0.222
0.446,0.338,0.216
0.442,0.338,0.221
0.439,0.341,0.220
0.435,0.341,0.224
0.432,0.341,0.227
0.424,0.348,0.228
0.430,0.344,0.226
0.421,0.347,0.232
0.421,0.347,0.232
0.424,0.348,0.228
0.427,0.348,0.225
0.430,0.349,0.221
0.439,0.341,0.220
0.443,0.342,0.215
0.442,0.338,0.221
0.446,0.338,0.216
0.451,0.338,0.211
0.449,0.333,0.217
0.443,0.343,0.214
0.443,0.343,0.214
0.443,0.343,0.214
0.449,0.348,0.203
0.449,0.348,0.203
0.456,0.338,0.206
0.449,0.348,0.203
0.443,0.343,0.214
0.444,0.347,0.208
0.434,0.342,0.224
0.405,0.354,0.241
0.373,0.373,0.254

