Red,Green,Blue
0.273,0.364,0.364
0.250,0.333,0.417
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.286,0.357,0.357
0.278,0.389,0.333
0.278,0.389,0.333
0.250,0.375,0.375
0.267,0.400,0.333
0.267,0.400,0.333
0.267,0.333,0.400
0.286,0.357,0.357
0.231,0.385,0.385
0.250,0.333,0.417
0.273,0.364,0.364
0.231,0.385,0.385
0.286,0.357,0.357
0.267,0.333,0.400
0.250,0.375,0.375
0.250,0.375,0.375
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.286,0.357,0.357
0.231,0.385,0.385
0.231,0.385,0.385
0.250,0.333,0.417
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.231,0.385,0.385
0.286,0.357,0.357
0.294,0.353,0.353
0.278,0.389,0.333
0.316,0.368,0.316
0.294,0.353,0.353
0.333,0.333,0.333
0.286,0.357,0.357
0.286,0.357,0.357
0.294,0.353,0.353
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.294,0.353,0.353
0.294,0.353,0.353
0.294,0.353,0.353
0.250,0.375,0.375
0.250,0.375,0.375
0.267,0.333,0.400
0.231,0.385,0.385
0.231,0.385,0.385
0.250,0.333,0.417
0.273,0.364,0.364
0.273,0.364,0.364
0.250,0.333,0.417
0.231,0.385,0.385
0.286,0.357,0.357
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.250,0.375,0.375
0.294,0.353,0.353
0.294,0.353,0.353
0.278,0.333,0.389
0.316,0.316,0.368
0.294,0.353,0.353
0.294,0.353,0.353
0.294,0.353,0.353
0.294,0.353,0.353
0.294,0.353,0.353
0.278,0.333,0.389
0.294,0.353,0.353
0.250,0.375,0.375
0.250,0.375,0.375
0.250,0.375,0.375
0.267,0.333,0.400
0.286,0.357,0.357
0.267,0.400,0.333
0.286,0.357,0.357
0.286,0.357,0.357
0.250,0.417,0.333
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.250,0.333,0.417
0.250,0.333,0.417
0.250,0.333,0.417
0.231,0.385,0.385
0.286,0.357,0.357
0.286,0.357,0.357
0.267,0.333,0.400
0.294,0.353,0.353
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.263,0.368,0.368
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.294,0.353,0.353
0.250,0.375,0.375
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.294,0.353,0.353
0.316,0.368,0.316
0.304,0.348,0.348
0.308,0.346,0.346
0.290,0.355,0.355
0.290,0.355,0.355
0.286,0.357,0.357
0.273,0.364,0.364
0.250,0.375,0.375
0.231,0.385,0.385
0.273,0.364,0.364
0.250,0.333,0.417
0.231,0.385,0.385
0.231,0.385,0.385
0.286,0.357,0.357
0.286,0.357,0.357
0.267,0.333,0.400
0.294,0.353,0.353
0.294,0.353,0.353
0.294,0.353,0.353
0.278,0.333,0.389
0.278,0.333,0.389
0.300,0.350,0.350
0.300,0.350,0.350
0.300,0.350,0.350
0.300,0.350,0.350
0.300,0.350,0.350
0.263,0.368,0.368
0.263,0.368,0.368
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.278,0.333,0.389
0.294,0.353,0.353
0.294,0.353,0.353
0.250,0.375,0.375
0.294,0.353,0.353
0.294,0.353,0.353
0.304,0.348,0.348
0.308,0.346,0.346
0.286,0.357,0.357
0.300,0.333,0.367
0.300,0.367,0.333
0.296,0.370,0.333
0.308,0.346,0.346

