Red,Green,Blue
0.360,0.280,0.360
0.360,0.280,0.360
0.360,0.280,0.360
0.360,0.280,0.360
0.385,0.269,0.346
0.385,0.269,0.346
0.385,0.269,0.346
0.385,0.269,0.346
0.375,0.250,0.375
0.375,0.250,0.375
0.391,0.261,0.348
0.375,0.250,0.375
0.391,0.261,0.348
0.375,0.250,0.375
0.409,0.227,0.364
0.381,0.238,0.381
0.381,0.238,0.381
0.381,0.238,0.381
0.381,0.238,0.381
0.348,0.261,0.391
0.375,0.250,0.375
0.370,0.259,0.370
0.360,0.280,0.360
0.360,0.280,0.360
0.360,0.280,0.360
0.385,0.269,0.346
0.385,0.269,0.346
0.385,0.308,0.308
0.381,0.286,0.333
0.389,0.278,0.333
0.400,0.267,0.333
0.417,0.250,0.333
0.444,0.222,0.333
0.556,0.222,0.222
0.545,0.273,0.182
0.500,0.312,0.187
0.478,0.304,0.217
0.462,0.308,0.231
0.462,0.231,0.308
0.400,0.200,0.400
0.455,0.182,0.364
0.400,0.200,0.400
0.400,0.200,0.400
0.400,0.200,0.400
0.400,0.200,0.400
0.400,0.200,0.400
0.400,0.200,0.400
0.400,0.200,0.400
0.375,0.187,0.437
0.375,0.187,0.437
0.389,0.222,0.389
0.389,0.222,0.389
0.389,0.222,0.389
0.389,0.222,0.389
0.368,0.263,0.368
0.400,0.250,0.350
0.381,0.238,0.381
0.364,0.273,0.364
0.391,0.261,0.348
0.391,0.261,0.348
0.400,0.280,0.320
0.400,0.280,0.320
0.417,0.250,0.333
0.391,0.261,0.348
0.400,0.250,0.350
0.400,0.250,0.350
0.400,0.250,0.350
0.421,0.211,0.368
0.389,0.222,0.389
0.412,0.235,0.353
0.412,0.235,0.353
0.437,0.187,0.375
0.375,0.187,0.437
0.375,0.187,0.437
0.353,0.235,0.412
0.353,0.235,0.412
0.350,0.250,0.400
0.348,0.261,0.391
0.385,0.269,0.346
0.391,0.261,0.348
0.381,0.286,0.333
0.400,0.250,0.350
0.400,0.250,0.350
0.368,0.263,0.368
0.389,0.222,0.389
0.389,0.222,0.389
0.412,0.235,0.353
0.375,0.250,0.375
0.353,0.235,0.412
0.353,0.235,0.412
0.350,0.250,0.400
0.350,0.250,0.400
0.364,0.273,0.364
0.360,0.280,0.360
0.375,0.292,0.333
0.391,0.261,0.348
0.381,0.286,0.333
0.400,0.250,0.350
0.368,0.263,0.368
0.412,0.235,0.353
0.412,0.235,0.353
0.375,0.250,0.375
0.400,0.200,0.400
0.400,0.200,0.400
0.375,0.250,0.375
0.375,0.250,0.375
0.368,0.263,0.368
0.364,0.273,0.364
0.360,0.280,0.360
0.370,0.296,0.333
0.391,0.261,0.348
0.364,0.273,0.364
0.400,0.250,0.350
0.368,0.263,0.368
0.389,0.222,0.389
0.412,0.235,0.353
0.375,0.250,0.375
0.375,0.250,0.375
0.375,0.250,0.375
0.353,0.235,0.412
0.389,0.222,0.389
0.353,0.235,0.412
0.350,0.250,0.400
0.381,0.238,0.381
0.348,0.261,0.391
0.360,0.280,0.360
0.357,0.286,0.357
0.375,0.292,0.333
0.364,0.273,0.364
0.400,0.250,0.350
0.368,0.263,0.368
0.389,0.222,0.389
0.353,0.235,0.412
0.375,0.250,0.375
0.353,0.235,0.412
0.389,0.222,0.389
0.353,0.235,0.412
0.368,0.263,0.368
0.350,0.250,0.400
0.364,0.273,0.364
0.360,0.280,0.360
0.360,0.280,0.360
0.364,0.273,0.364
0.381,0.238,0.381
0.368,0.263,0.368
0.368,0.263,0.368
0.364,0.273,0.364
0.360,0.280,0.360
